hub_u,hub_v,dist_km,base_cost,exp_delay_hours,emissions_factor,capacity,flow,unit_cost
0,2,885.6640181795665,249.1311613742956,4.308714325242616,267.54921977769845,1000000.0,1761.7339778574774,249.1311613742956
0,4,1412.2145988340956,397.2461970854743,6.471763358011379,426.61427620528224,1000000.0,589.4277249337283,397.2461970854743
0,5,930.4991594462198,261.7429764473533,4.308714325242616,281.0934157914106,1000000.0,4624.6686418213,261.7429764473533
0,6,1609.9250807037813,452.86078789306873,7.377812235508731,486.3404071988781,1000000.0,789.0222984562607,452.86078789306873
0,10,1877.4968138805368,528.1268653998361,8.00189803259343,567.1708428680993,1000000.0,2235.1473569312334,528.1268653998361
1,9,749.8670379090553,263.2744865534534,4.229671294159869,226.6552294380008,1000000.0,1490.7219709964131,263.2744865534534
1,11,985.1382042615178,345.87699125214505,5.1815333708696265,297.7684235029876,1000000.0,892.8738499922033,345.87699125214505
2,0,885.6640181795665,209.23323082314892,4.212580383450879,261.4912814937798,1000000.0,723.8421955403091,209.23323082314892
3,7,792.7645413909908,291.5772074552386,4.302789501747256,236.96761299883389,1000000.0,1018.244191486044,291.5772074552386
5,1,1686.9446609895483,493.8708136762407,8.150175782706077,505.25215669189384,1000000.0,3201.9335724309994,493.8708136762407
5,8,885.8766949361693,259.34973106249123,4.388556190687887,265.3264929372568,1000000.0,707.313269920474,259.34973106249123
10,3,855.5197406496043,250.98708891101307,4.074842444316433,252.86244703819648,1000000.0,1657.2586932792765,250.98708891101307
